"Indicator Name","Indicator Code","Country Name","Country Code","Year","Value","Disaggregation"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Arab World","ARB","2021","24.050","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Arab World","ARB","2017","16.330","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Arab World","ARB","2014","13.460","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","East Asia & Pacific","EAS","2021","76.830","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","East Asia & Pacific","EAS","2017","59.030","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","East Asia & Pacific","EAS","2014","46.460","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","East Asia & Pacific (excluding high income)","EAP","2021","74.210","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","East Asia & Pacific (excluding high income)","EAP","2017","54.480","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","East Asia & Pacific (excluding high income)","EAP","2014","40.890","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Euro area","EMU","2021","97.010","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Euro area","EMU","2017","90.970","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Euro area","EMU","2014","86.360","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Europe & Central Asia","ECS","2021","85.450","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Europe & Central Asia","ECS","2017","75.650","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Europe & Central Asia","ECS","2014","68.490","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Europe & Central Asia (excluding high income)","ECA","2021","70.730","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Europe & Central Asia (excluding high income)","ECA","2017","57.390","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","Europe & Central Asia (excluding high income)","ECA","2014","47.500","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","High income","HIC","2021","95.000","female"
"Made or received a digital payment, female (% age 15+)","g20.t.d.1","High income","HIC","2017","89.670","female"
